Term,Domain,Definition,Category,Related terms,Reference description,Reference source,Publication Title,Authors,Jorunal,Year,Volume,Issue,Edition,Publisher,DOI,PMID,Link to reference,Creation Date,Date of change,Comments,Term ID,
concentration of pathogens,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977902_concentration of pathogens_Animal Health,1551347977902
concentration of pathogens,Food Safety,number of target organisms present in a defined volume/weight/area of a sample,Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978119_concentration of pathogens_Food Safety,1551347978119
confirmed case definition,Public Health,"classification of cases based on the gold standard definition of a case of the given disease, often based on laboratory confirmation and pathogen subtyping results?",Epidemiology,,ECDC,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977835_confirmed case definition_Public Health,1551347977835
confirmed case definition,Animal Health,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978016_confirmed case definition_Animal Health,1551347978016
consignment,Food Safety,"A consignment is a quantity of some commodity delivered at one time. It may consist in either a portion of a lot, either a set of several lots.",Sampling and laboratory testing,,"FAO, General Guidelines on Sampling",,,,,,,,,,,,http://www.fao.org/uploads/media/Codex_2004_sampling_CAC_GL_50.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977721_consignment_Food Safety,1551347977721
consignment,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977903_consignment_Animal Health,1551347977903
contaminant,Food Safety,"A contaminant is any substance not intentionally added to food which is present in such food as a result of the production (including operations carried out in crop husbandry, animal husbandry and veterinary medicine), manufacture, processing, preparation, treatment, packing, packaging, transport or holding of such food, or as a result of environmental contamination.",Sampling and laboratory testing,,EUROSTAT,,,,,,,,,,,,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Contaminant,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977723_contaminant_Food Safety,1551347977723
contaminant,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977904_contaminant_Animal Health,1551347977904
contamination,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977905_contamination_Animal Health,1551347977905
contamination,Food Safety,the presence or introduction of a hazard,Sampling and laboratory testing,,REGULATION (EC) No 852/2004,,,,,,,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32004R0852&from=en,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978259_contamination_Food Safety,1551347978259
contigs,Public Health,Contigious sequences made by assembling reads.,Sampling and laboratory testing,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977849_contigs_Public Health,1551347977849
continous series of lots,Food Safety,"a series of lots produced, manufactured or commercialised on a continuous manner, under conditions presumed uniform. The inspection of a continuous series of lots can only be achieved at the production or processing stage.",Sampling and laboratory testing,,"FAO, General Guidelines on Sampling",,,,,,,,,,,,http://www.fao.org/uploads/media/Codex_2004_sampling_CAC_GL_50.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977765_continous series of lots_Food Safety,1551347977765
continous series of lots,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977906_continous series of lots_Animal Health,1551347977906
continuous data,Common Term,Data (variable) with a potentially infinite number of possible values along a continuum,Data processing and analysis; Dissemination,,"A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977858_continuous data_Common Term,1551347977858
continuous data collection,Food Safety,Definition shared with animal health,Data processing and analysis; Dissemination,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977872_continuous data collection_Food Safety,1551347977872
continuous data collection,Animal Health,"Investigator-initiated active collection of animal health related data from individual units in a population which is not limited to a particular time period, to assess the disease status within the population. This can be carried out using a sample of the population of interest or using a census of all units. Some examples are: abattoir surveillance, ongoing self-monitoring by producers, pre-entry testing, … Continuous monitoring is often used for case detection to facilitate control and for food-borne diseases.",Data processing and analysis; Dissemination,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978091_continuous data collection_Animal Health,1551347978091
contributory factor,Animal Health,Definition shared with food safety,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977907_contributory factor_Animal Health,1551347977907
contributory factor,Food Safety,fault or circumstance that singly or in combination led to the food-borne outbreak.,Epidemiology,,"EFSA, Manual for reporting on food-borne outbreaks",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978061_contributory factor_Food Safety,1551347978061
control and eradication programmes,Food Safety,"Control programme—programme applying measures designed to reduce the frequency of existing infection or contamination to levels biologically and/or economically justifiable or otherwise of little consequence. Eradication programme—programme applying measures aimed at eliminating selected zoonotic agents from a defined area. In the context of Directive 77/391/EEC the eradication programmes are so devised that, on their completion, herds are classified as officially free of brucellosis/tuberculosis.",Type of study,,"EFSA, samplingstrategy.xlsx",,,,,,,,,,,,tiny.cc/86tc0y,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977850_control and eradication programmes_Food Safety,1551347977850
control and eradication programmes,Animal Health,Definition shared with food safety,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977908_control and eradication programmes_Animal Health,1551347977908
control body,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977909_control body_Animal Health,1551347977909
control body,Food Safety,means an independent third party to which the competent authority has delegated certain control tasks,Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978105_control body_Food Safety,1551347978105
control measure,Food Safety,Any action and activity that can be used to prevent or eliminate a food safety hazard or reduce it to an acceptable level.,Regulatory,,Codex Alimentarius (Genral Principles of Food Hygiene),,,,,,,,,,,,https://bit.ly/2nnygVy,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977805_control measure_Food Safety,1551347977805
control measure,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977910_control measure_Animal Health,1551347977910
control plan,Food Safety,a description established by the competent authority containing general information on the structure and organisation of its official control systems,Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977726_control plan_Food Safety,1551347977726
control plan,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977911_control plan_Animal Health,1551347977911
controlled vocabulary,Common Term,"A collection of clearly defined, mutually exclusive, and exhaustive terms, which are the only choices for usage in a specific surveillance context. Compared to ontologies (see definition), it lacks the semantic aspects (properties among concepts) and the machine-readable format. It is therefore useful for human communication, but data integration can only be reachable by forcing coding (or more often re-coding) or data into the specific vocabulary.",Data processing and analysis,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977716_controlled vocabulary_Common Term,1551347977716
convenient sampling,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977912_convenient sampling_Animal Health,1551347977912
convenient sampling,Food Safety,Strategy based on the selection of a sample for which units are selected only on the basis of feasibility or ease of data collection. It's a not random sampling. The data reported refer themselves to units selected according to this strategy. Special instance of selective sampling where no randomisation is performed in extracting the sample but units are selected only on the basis of feasibility or ease of data collection. The subpopulations may or may not be determined on a risk basis. The sampling from each subpopulation may not be proportional: the sample size is proportionally bigger for instance in subpopulations considered at high risk.,Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978187_convenient sampling_Food Safety,1551347978187
core genome mlst (CGMLST),Public Health,consist of a fixed set of conserved species specific genes.,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977846_core genome mlst (CGMLST)_Public Health,1551347977846
core genome mlst (CGMLST),Food Safety,Definition shared with public health,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978017_core genome mlst (CGMLST)_Food Safety,1551347978017
corrective action,Food Safety,Any action to be taken when the results of monitoring at the CCP indicate a loss of control.,Regulatory,,Codex Alimentarius (Genral Principles of Food Hygiene),,,,,,,,,,,,https://bit.ly/2nnygVy,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977807_corrective action_Food Safety,1551347977807
corrective action,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977913_corrective action_Animal Health,1551347977913
critical control point,Food Safety,A step at which control can be applied and is essential to prevent or eliminate a food safety hazard or reduce it to an acceptable level.,Regulatory,,Codex Alimentarius (Genral Principles of Food Hygiene),,,,,,,,,,,,https://bit.ly/2nnygVy,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977770_critical control point_Food Safety,1551347977770
critical control point,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977914_critical control point_Animal Health,1551347977914
critical limit,Food Safety,A criterion which separates acceptability from unacceptability.,Regulatory,,Codex Alimentarius (Genral Principles of Food Hygiene),,,,,,,,,,,,https://bit.ly/2nnygVy,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977724_critical limit_Food Safety,1551347977724
critical limit,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977915_critical limit_Animal Health,1551347977915
data,Common Term,"Facts, measurements, recordings, records, or observations about the world collected by scientists and others, with a minimum of contextual interpretation. Data may be in any format or medium taking the form of writings, notes, numbers, symbols, text, images, films, video, sound recordings, pictorial reproductions, drawings, designs or other graphical representations, procedural manuals, forms, diagrams, work flow charts, equipment descriptions, data files, data processing algorithms, or statistical records.",Data harmonization; Statistical surveillance data analysis,,,,,,,,,,,,,,https://dictionary.casrai.org/Data,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978059_data_Common Term,1551347978059
data anonymisation/ pseudomysation,Common Term,"The processing of personal data in such a way that the data can no longer be attributed to a specific data subject without the use of additional information, as long as such additional information is kept separately and subject to technical and organisational measures to ensure non-attribution to the specific data subject",Statistical surveillance data analysis,,,,,,,,,,,,,,adapted from: http://www.privacy-regulation.eu/en/article-4-definitions-GDPR.htm,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978269_data anonymisation/ pseudomysation_Common Term,1551347978269
