Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
Sampling and laboratory testing,Food Safety,census (sampling),"When the totality of a population or sub-population, on which the data are reported, is included.",,,,https://doi.org/10.2903/j.efsa.2013.3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,,,"Do., Apr. 4 2019 11:37:38",24.04.2019 05:16:22,censussampling_94a4990f-61e3-47cc-9fd0-57db1bc910f8
Sampling and laboratory testing,Animal Health,census (sampling),"When the totality of a population or sub-population, on which the data are reported, is included.",,,,https://doi.org/10.2903/j.efsa.2013.3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,,,"Do., Apr. 4 2019 11:37:38",24.04.2019 05:16:22,censussampling_32db9f0d-282a-4b87-9921-64896771630b
Epidemiology,Shared Term,chain of infection,"A process that begins when an agent leaves its reservoir or host through a portal of exit, and is conveyed by some mode of transmission, then enters through an appropriate portal of entry to infect a susceptible host.",,,,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 17.05.2019,,CDC,,CDC glossary,"Do., Apr. 4 2019 11:37:44",24.04.2019 05:18:28,chainofinfection_695adfad-91d9-4e4c-983a-32f383c9aa68
Sampling and laboratory testing,Food Safety,clinical breakpoint,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,clinicalbreakpoint_1889ea28-f9a2-49cc-899d-c450ffad5e48
Sampling and laboratory testing,Animal Health,clinical breakpoint,"Breakpoints are discriminatory antimicrobial concentrations used in the interpretation of results of susceptibility testing to define isolates as susceptible, intermediate or resistant. Clinical breakpoints are for everyday use in the clinical laboratory to advise on patient therapy.",,,,https://www.ncbi.nlm.nih.gov/pubmed/11420334,10.1093/jac/48.suppl_1.17,,,Journal Article,Establishing MIC breakpoints and the interpretation of in vitro susceptibility tests,2001,"MacGowan AP, Wise R.",,Journal of Antimicrobial Chemotherapy,"MacGowan, Alasdair P., and Richard Wise. “Establishing MIC Breakpoints and the Interpretation of in Vitro Susceptibility Tests.” Journal of Antimicrobial Chemotherapy 48.suppl_1 (2001): 17–28. Web","Do., Apr. 4 2019 11:37:38",29.04.2019 01:29:00,clinicalbreakpoint_31ac6fad-daa2-4af5-b177-b75e81afa1c0
Sampling and laboratory testing,Public Health,clinical breakpoint,"Breakpoints are discriminatory antimicrobial concentrations used in the interpretation of results of susceptibility testing to define isolates as susceptible, intermediate or resistant. Clinical breakpoints are for everyday use in the clinical laboratory to advise on patient therapy.",,,,https://www.ncbi.nlm.nih.gov/pubmed/11420334,10.1093/jac/48.suppl_1.17,,,Journal Article,Establishing MIC breakpoints and the interpretation of in vitro susceptibility tests,2001,"MacGowan AP, Wise R.",,Journal of Antimicrobial Chemotherapy,"MacGowan, Alasdair P., and Richard Wise. “Establishing MIC Breakpoints and the Interpretation of in Vitro Susceptibility Tests.” Journal of Antimicrobial Chemotherapy 48.suppl_1 (2001): 17–28. Web","Do., Apr. 4 2019 11:37:44",,clinicalbreakpoint_0d74b8d7-d723-463e-b962-89d813f0cda3
Epidemiology,Food Safety,clinical criteria,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,clinicalcriteria_967ae933-9273-4f3e-b57b-bba39dc87058
Epidemiology,Animal Health,clinical criteria,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:44",,clinicalcriteria_d18d4c47-84c8-4db5-a882-e2d1be2991a9
Epidemiology,Public Health,clinical criteria,"the medical features (e.g., symptoms, medical examination findings, and laboratory results) that are used in a case definition.",,,,https://www.cdc.gov/csels/dsepd/ss1978/SS1978.pdf,,,,Report,"Principles of Epidemiology in Public Health Practice - An Introduction
to Applied Epidemiology and Biostatistics",2012,,CDC,,CDC glossary,"Do., Apr. 4 2019 11:37:44",,clinicalcriteria_b6d69b9c-09b8-471c-b571-a8d5b82b24fe
Type of study;Sampling and laboratory testing,Food Safety,clinical investigation,clinical investigation in animals is considered as a selective way of sampling and results in a number of samples obtained in a passive way. The samples obtained and analysed via clinical investigations are heterogeneous with relation to the species (matrix) as well as type of samples. The reason for the analysis of the samples is very often a clinical examination of (diseased) animals by a veterinarian and/or specific clinical signs observed by the farmer and/or veterinarian.,,,,http://doi.org/10.5281/zenodo.2554064,10.5281/zenodo.2554064,,,Website,Harmonized terminology for scientific research; DCF catalogues,2019,,EFSA,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),13.05.2019 17:27:33,clinicalinvestigation_c4889a57-d2de-4d04-9cf8-ddf8d5263857
Type of study,Public Health,clinical investigation,The segment of clinical research for which an investigator directly interacts with patients in either an outpatient or inpatient setting. This definition excludes studies for which material of human origin is obtained through a third party and for which an investigator has had no direct interaction with the patient.,,,,https://www.ncbi.nlm.nih.gov/books/NBK222768/,,,,Report,Resources for Clinical Investigation,1988,,National Academies Press,,,"Do., Apr. 4 2019 11:37:38",,clinicalinvestigation_6cc0f895-27ab-43ed-a16a-1f2024ed2435
Type of study,Animal Health,clinical investigation,clinical investigation in animals is considered as a selective way of sampling and results in a number of samples obtained in a passive way. The samples obtained and analysed via clinical investigations are heterogeneous with relation to the species (matrix) as well as type of samples. The reason for the analysis of the samples is very often a clinical examination of (diseased) animals by a veterinarian and/or specific clinical signs observed by the farmer and/or veterinarian.,,,,http://doi.org/10.5281/zenodo.2554065,10.5281/zenodo.2554065,,,Website,Harmonized terminology for scientific research; DCF catalogues,Accessed on: 23.04.2019,,EFSA,,,"Do., Apr. 4 2019 11:37:38",24.04.2019 05:24:51,clinicalinvestigation_1a231999-e21f-4a96-9406-e5d1f9b62b34
Type of study,Food Safety,clinical surveillace,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,clinicalsurveillace_981c978d-a6d1-44d3-94bf-840a857f4dac
Type of study,Animal Health,clinical surveillace,same as syndromic surveillance,original definition,syndromic surveillance, syndromicsurveillance_7bbd23ac-0093-40ad-8f9b-fb88d56b0905; syndromicsurveillance_0c25adff-3c30-46a0-8914-2ed3df0f02e4; syndromicsurveillance_01e57a1f-75f4-4981-9d86-ceba3bdbb083; syndromicsurveillance_de203e68-7940-49c1-9d31-cb3c50e3caf0,,,,,ORION preliminary definition,,,,,,,Thu Apr 04 2019 11:38:12 GMT+0200 (MESZ),16.05.2019 11:49:45,clinicalsurveillace_ace09b11-8e42-43a6-a33d-49822585966c
Type of study,Animal Health,clinical surveillace,Propective case finding (based on clinical criteria) and peer review to improve identification of adverse events,adapted definition,syndromic surveillance, syndromicsurveillance_7bbd23ac-0093-40ad-8f9b-fb88d56b0905; syndromicsurveillance_0c25adff-3c30-46a0-8914-2ed3df0f02e4; syndromicsurveillance_01e57a1f-75f4-4981-9d86-ceba3bdbb083; syndromicsurveillance_de203e68-7940-49c1-9d31-cb3c50e3caf0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3161499/,10.1136/bmjqs.2010.048694,21367769,,Journal Article,Using prospective clinical surveillance to identify adverse events in hospital,2011,"Forster AJ, Worthington JR, Hawken S, Bourke M, Rubens F, Shojania K, van Walraven C. ",,BMJ Quality and Safety,,"Do., Apr. 4 2019 11:38:12",29.04.2019 01:34:00,clinicalsurveillace_453970d3-4307-4e3c-8946-057eb2ebeb5f
Type of study,Public Health,clinical surveillace,Propective case finding (based on clinical criteria) and peer review to improve identification of adverse events,adapted definition,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3161499/,10.1136/bmjqs.2010.048694,21367769,,Journal Article,Using prospective clinical surveillance to identify adverse events in hospital,2011,"Forster AJ, Worthington JR, Hawken S, Bourke M, Rubens F, Shojania K, van Walraven C. ",,BMJ Quality and Safety,,"Do., Apr. 4 2019 11:37:44",,clinicalsurveillace_6e480f48-571b-45b7-980f-b788500e3ff6
Sampling and laboratory testing,Shared Term,clone,Refers to a replica. DNA molecules can be cloned using bacteria or viruses as hosts. A genetic clone can also refer to an organism that is a genetic copy of the original - produced using various in vitro techniques.,original definition,,,http://www.dnaftb.org/glossary.html,,,,Website,Talking Glossary of Genetic Terms from National Human Genome Research Institute,Accessed on: 17.05.2019,,,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),17.05.2019 12:21:51,clone_c117024b-9110-42b3-b4b6-e1e1a39690d9
Sampling and laboratory testing,Shared Term,Clone (Cell biology),"A clone is a group of identical cells (e.g. bacteria) that share a common ancestry, meaning they are derived from the same cell.",original definition,,,https://en.wikipedia.org/wiki/Clone_(cell_biology),,,,Website,Clone (cell_biology),Accessed 15.05.2019,,,,ORION preliminary definition,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),15.05.2019 15:58:37,CloneCellbiology_c4b75151-5c49-4e78-a615-5dcf80b5ced9
Epidemiology,Public Health,cluster,Aggregations of relatively uncommon events or diseases in space and/or time in amounts that are believed or perceived to be greater than could be expected by chance.,,,,,,,978-0-199-97672-0,Book,"Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition",2015,Edited by Miquel Porta,,,,"Do., Apr. 4 2019 11:37:44",,cluster_89c081f3-d9bb-42b9-b2cf-424443705e03
Epidemiology,Animal Health,cluster,An aggregation of cases in a circumscribed area during a particular period without regard to whether the number of cases is more than expected (often the expected number is not known).,,,,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 17.05.2019,,CDC,,CDC glossary,"Do., Apr. 4 2019 11:37:38",,cluster_d4103222-0a8d-49e2-9739-afd173df8bc7
Epidemiology,Public Health,cluster,An aggregation of cases in a circumscribed area during a particular period without regard to whether the number of cases is more than expected (often the expected number is not known).,,,,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 17.05.2019,,CDC,,CDC glossary,"Do., Apr. 4 2019 11:37:38",,cluster_6b223892-0860-4c12-9858-68689418a444
Epidemiology,Animal Health,cluster,refer to groups of samples expected to be more similar than random e.g. samples from pigs from same herd or carcasses from same abbatoir,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:12",29.04.2019 01:34:57,cluster_bb13063d-45da-4904-baf2-0d86f6616e94
Epidemiology,Food Safety,cluster,refer to groups of samples expected to be more similar than random e.g. samples from pigs from same herd or carcasses from same abbatoir,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,cluster_18705451-33d5-4ae5-b3a8-9a604e43bac1
Sampling and laboratory testing,Shared Term,cluster amplification,"how sequencing works in most NGS methods, a single library fragment is amplified and copied in a physically isolated location.",,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:44",24.04.2019 05:36:26,clusteramplification_cd9bb645-dc9f-4d68-ab00-576b3cd205bd
Sampling and laboratory testing; Data processing and analysis,Shared Term,cluster detection,Identifying groups of things that are clustered together according to their similarity to each other by some measure; this includes (but is not limited to) pathogen isolates that are clustered by genetic similarity and cases of an infectious disease that are clustered in space or time.,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:44",24.04.2019 05:42:10,clusterdetection_df8c4683-e700-4778-8dd8-3c00667c3051
Others,Public Health,Codex Alimentarius,,,,,,,,,ORION preliminary definition,,,,,,,,,CodexAlimentarius_074854e9-41d2-461e-8335-ef7d7ba0f619
Regulatory,Food Safety,Codex Alimentarius,"The Codex Alimentarius, or Food Code is a collection of standards, guidelines and codes of practice adopted by the Codex Alimentarius Commission. The Commission, also known as CAC, is the central part of the Joint FAO/WHO Food Standards Programme and was established by FAO and WHO to protect consumer health and promote fair practices in food trade. It held its first meeting in 1963.",,,,http://www.fao.org/fao-who-codexalimentarius/en/,,,Website,What is the Codex Alimentarius?,,Accessed on: 23.04.2019,,,,,"Do., Apr. 4 2019 11:37:44",24.04.2019 05:43:32,CodexAlimentarius_0ceb2d9e-66a7-4fe8-9c76-4b1822e21138
Regulatory,Animal Health,Codex Alimentarius,"The Codex Alimentarius, or Food Code is a collection of standards, guidelines and codes of practice adopted by the Codex Alimentarius Commission. The Commission, also known as CAC, is the central part of the Joint FAO/WHO Food Standards Programme and was established by FAO and WHO to protect consumer health and promote fair practices in food trade. It held its first meeting in 1963.",,,,http://www.fao.org/fao-who-codexalimentarius/en/,,,Website,What is the Codex Alimentarius?,,Accessed on: 23.04.2019,,,,FAO/WHO,"Do., Apr. 4 2019 11:38:15",29.04.2019 01:35:54,CodexAlimentarius_510adfd2-e9d3-4a57-b6a1-8902e2837369
ORION-specific;Epidemiology,Shared Term,communicable disease,"A communicable disease is an illness due to a specific infectious (biological) agent or its toxic products capable of being directly or indirectly transmitted from human-to-human, from animal-to-human, from animal-to-animal, or from the environment (through air, water, food, etc..) to humans and animals.",adapted definition,,,https://www.pitt.edu/~super7/32011-33001/32321.ppt,,,,Website,Principles of Communicable Diseases Epidemiology,Accessed 23.04.2019,,University of Pittsburgh,,,"Do., Apr. 4 2019 11:37:38",23.04.2019 02:50:13,communicabledisease_00390bda-bc9a-43ab-a2df-58a277243a24
